device_age_months,battery_capacity_mah,avg_screen_on_hours_per_day,avg_charging_cycles_per_week,avg_battery_temp_celsius,fast_charging_usage_percent,overnight_charging_freq_per_week,gaming_hours_per_week,video_streaming_hours_per_week,background_app_usage_level,signal_strength_avg,charging_habit_score,usage_intensity_score,thermal_stress_index,battery_health_score,battery_health
43,5000,4.6,5.0,33.2,65.5,0,0.9,0.0,2,2,8,10.0,3.14,47.35,Poor
2,4000,5.5,8.8,32.4,9.5,3,9.1,10.4,1,3,7,10.0,3.58,67.04,Healthy
36,4500,2.4,3.3,27.3,76.0,5,3.2,15.6,1,3,6,10.0,1.94,58.09,Healthy
6,3000,5.8,5.9,33.8,71.4,0,4.5,5.3,2,3,7,10.0,3.55,57.37,Moderate
20,5000,4.9,7.4,33.4,32.8,0,2.5,13.7,3,3,9,10.0,3.31,60.2,Healthy
8,4000,3.7,6.8,28.3,69.5,4,4.4,4.7,2,2,6,10.0,2.26,65.13,Healthy
38,4000,5.6,7.1,28.1,77.4,1,2.9,5.3,2,3,8,10.0,2.11,54.77,Moderate
17,4000,2.1,3.0,31.4,44.3,6,2.6,10.4,3,2,4,10.0,2.86,60.55,Healthy
3,3000,5.7,8.9,29.8,45.5,1,0.8,7.0,1,2,8,10.0,2.34,69.88,Healthy
24,3000,6.4,7.1,31.8,61.6,3,4.7,16.8,1,3,6,10.0,3.1,52.57,Moderate
13,4500,6.1,8.6,33.6,86.4,2,1.8,10.0,1,3,6,10.0,3.31,49.26,Moderate
8,4000,7.1,11.0,31.9,31.0,0,1.3,17.0,3,1,9,10.0,2.88,65.2,Healthy
25,3000,7.8,11.2,30.5,26.3,1,2.1,13.4,1,2,8,10.0,2.62,59.65,Healthy
1,4000,5.3,6.7,27.5,88.8,2,1.8,5.4,1,3,7,10.0,1.89,68.86,Healthy
19,5000,7.7,10.3,33.6,15.2,1,0.4,11.1,1,3,9,10.0,3.2,60.74,Healthy
27,4000,5.3,6.4,36.6,25.4,5,7.9,5.8,3,3,7,10.0,4.48,48.73,Poor
46,4500,4.1,5.5,30.6,13.5,3,6.2,15.8,3,3,7,10.0,2.95,55.53,Moderate
6,3000,4.7,8.1,32.4,62.2,5,2.8,17.3,1,3,7,10.0,3.11,59.79,Healthy
43,5000,6.0,11.4,34.3,59.0,0,5.5,1.4,2,3,8,10.0,3.74,38.75,Poor
7,3000,7.7,11.5,35.7,31.3,6,5.7,12.8,2,3,6,10.0,4.08,52.29,Moderate
46,5000,5.5,9.0,32.4,79.2,4,2.4,16.1,1,3,5,10.0,3.08,36.92,Poor
34,4000,4.2,5.3,32.8,41.0,3,8.0,14.5,3,3,7,10.0,3.58,51.84,Moderate
13,4000,8.4,10.5,30.0,70.2,3,1.4,9.5,1,3,6,10.0,2.44,56.95,Moderate
16,4500,2.6,5.8,26.0,56.9,3,1.3,23.7,1,3,7,10.0,1.49,71.43,Healthy
35,4500,4.2,5.7,32.2,82.3,7,7.3,11.2,2,3,5,10.0,3.38,43.24,Poor
39,5000,7.3,11.6,32.2,71.7,2,4.1,2.6,2,3,6,10.0,3.15,39.84,Poor
3,4500,9.0,13.7,32.7,78.3,3,1.7,13.5,1,3,6,10.0,3.1,51.5,Moderate
1,4500,6.5,10.7,29.6,27.6,4,3.4,15.5,1,2,6,10.0,2.5,68.45,Healthy
5,4500,6.0,10.0,31.2,62.8,5,3.1,13.0,3,3,6,10.0,2.84,59.13,Healthy
41,4500,4.9,7.7,34.3,24.5,0,2.9,11.0,2,2,8,10.0,3.56,49.12,Poor
3,4000,6.6,10.3,37.0,22.9,1,1.7,3.0,1,2,8,10.0,4.09,57.89,Moderate
28,4500,5.8,9.9,35.3,29.1,6,1.7,1.7,2,3,6,10.0,3.7,47.29,Poor
17,4000,4.0,5.6,32.5,70.0,2,6.4,5.2,2,2,7,10.0,3.39,55.23,Moderate
25,4000,4.9,8.9,32.4,88.6,3,2.7,0.0,1,3,7,10.0,3.09,47.14,Poor
43,3000,3.8,4.9,28.9,90.1,1,6.8,17.6,2,3,8,10.0,2.58,50.23,Moderate
33,4000,5.5,8.4,31.0,50.1,5,0.7,10.4,1,3,6,10.0,2.62,52.0,Moderate
9,4000,5.8,9.4,36.9,78.3,3,5.8,8.3,1,2,5,10.0,4.37,42.51,Poor
35,4500,8.8,11.5,32.3,36.4,0,1.3,2.8,3,2,7,10.0,2.97,49.03,Poor
13,4000,4.3,7.8,35.8,30.1,4,10.8,3.6,2,2,7,10.0,4.5,53.24,Moderate
30,5000,5.1,8.2,30.7,74.0,4,5.0,10.1,3,1,6,10.0,2.87,49.12,Poor
47,4500,8.0,15.3,27.4,62.9,6,1.5,8.6,2,2,4,10.0,1.85,41.36,Poor
14,4500,9.1,15.7,37.0,89.8,5,5.8,10.7,3,3,6,10.0,4.4,33.82,Poor
7,4500,6.4,9.7,36.0,12.9,2,1.1,3.4,1,2,8,10.0,3.81,60.43,Healthy
13,3000,5.0,9.3,31.5,78.5,1,2.9,11.9,2,3,7,10.0,2.9,54.96,Moderate
22,4500,4.6,7.7,33.3,37.5,1,0.4,16.4,3,3,8,10.0,3.14,57.68,Moderate
39,4000,1.8,3.0,24.7,59.9,7,0.8,8.6,1,3,4,10.0,1.16,62.4,Healthy
20,5000,3.6,3.8,28.0,47.0,6,2.1,13.9,1,3,7,10.0,2.02,69.12,Healthy
15,4500,5.7,7.1,31.6,60.6,4,6.6,9.1,2,3,6,10.0,3.19,56.33,Moderate
44,4500,5.1,7.7,32.2,62.7,0,0.8,8.1,2,3,8,10.0,2.9,46.71,Poor
17,5000,6.7,9.6,35.9,64.2,2,6.5,12.1,3,3,7,10.0,4.19,45.72,Poor
46,4500,5.1,7.9,32.5,37.1,3,0.6,7.7,1,3,7,10.0,2.95,47.67,Poor
23,3000,4.0,7.4,27.9,15.8,5,6.5,6.9,1,3,6,10.0,2.34,66.62,Healthy
25,4000,6.2,10.1,32.5,71.7,2,2.3,15.4,2,3,7,10.0,3.09,48.47,Poor
24,5000,10.5,15.1,35.3,46.5,4,1.6,0.9,1,3,7,10.0,3.69,42.76,Poor
44,5000,4.9,8.2,28.9,20.1,7,8.6,10.5,3,2,6,10.0,2.72,53.95,Moderate
40,3000,5.8,7.8,37.2,25.8,5,21.9,4.7,1,1,6,10.0,5.65,35.35,Poor
28,4000,7.2,9.6,32.0,41.2,3,2.9,19.0,1,2,7,10.0,3.02,53.15,Moderate
14,3000,4.4,6.9,30.3,51.6,2,4.6,14.5,1,3,7,10.0,2.75,62.77,Healthy
44,4000,8.0,11.3,34.0,14.0,0,2.2,16.4,3,1,9,10.0,3.43,48.25,Poor
0,3000,2.3,3.0,28.9,65.1,1,7.5,11.0,2,2,7,10.0,2.63,72.18,Healthy
24,4500,4.7,8.0,32.6,22.0,3,4.8,13.2,2,3,7,10.0,3.31,57.56,Moderate
6,3000,4.9,8.0,31.6,3.4,2,5.2,11.1,1,2,8,10.0,3.09,71.21,Healthy
8,5000,5.8,8.3,32.7,21.8,6,3.2,7.2,1,2,6,10.0,3.21,62.83,Healthy
23,5000,1.6,3.0,26.4,21.6,0,4.3,18.9,3,3,9,10.0,1.82,77.79,Healthy
0,5000,8.2,11.6,31.7,26.7,6,3.2,13.5,3,3,7,10.0,2.98,65.58,Healthy
43,3000,6.3,11.4,34.3,24.7,7,3.0,5.9,3,3,6,10.0,3.57,41.8,Poor
7,5000,7.7,12.6,33.1,30.6,2,6.4,2.2,1,2,8,10.0,3.53,58.98,Healthy
23,5000,8.7,14.5,39.7,70.1,6,4.9,4.9,2,3,5,10.0,4.96,27.9,Poor
10,4500,4.0,6.3,31.9,78.8,3,2.2,10.3,2,3,6,10.0,2.93,57.09,Moderate
16,4500,1.0,3.0,31.9,41.7,6,6.4,6.7,1,3,5,10.0,3.26,60.74,Healthy
7,4000,7.8,12.6,33.0,59.7,0,4.6,14.7,1,3,9,10.0,3.38,56.63,Moderate
34,4000,4.9,8.7,30.9,59.5,5,4.5,11.4,3,2,6,10.0,2.89,48.91,Poor
34,4000,3.2,4.4,30.4,53.3,1,3.1,8.8,2,3,8,10.0,2.65,58.29,Healthy
32,3000,6.7,9.3,31.9,45.4,6,1.2,10.0,2,3,6,10.0,2.87,50.38,Moderate
4,4000,10.4,14.1,34.8,36.1,0,6.1,9.4,1,3,8,10.0,3.9,54.78,Moderate
41,3000,5.3,7.2,34.4,81.2,2,8.1,8.8,1,2,7,10.0,3.98,37.77,Poor
38,3000,7.4,11.8,33.0,39.8,2,1.8,11.9,1,3,7,10.0,3.16,45.52,Poor
40,4000,3.5,4.7,27.3,43.4,6,2.4,7.4,3,3,6,10.0,1.87,60.33,Healthy
27,4000,2.1,4.1,30.1,72.3,2,1.7,4.2,2,2,7,10.0,2.48,58.12,Healthy
6,3000,7.3,13.0,29.1,38.6,5,0.9,13.7,2,3,5,10.0,2.2,62.72,Healthy
8,4500,6.6,9.9,33.5,23.3,2,9.9,6.0,1,2,8,10.0,3.9,60.44,Healthy
7,5000,4.6,6.8,32.3,68.8,6,2.3,16.2,3,3,5,10.0,3.05,57.09,Moderate
11,5000,8.9,13.9,36.3,54.8,2,6.3,9.2,2,3,7,10.0,4.28,44.77,Poor
33,5000,2.0,3.0,26.0,39.3,5,7.2,7.8,1,2,7,10.0,1.95,67.96,Healthy
32,4500,3.0,3.9,28.9,58.7,4,1.4,5.3,1,3,7,10.0,2.17,60.73,Healthy
47,3000,4.4,6.0,33.1,76.0,0,9.1,8.5,1,2,8,10.0,3.74,40.9,Poor
22,4000,4.8,6.0,28.4,54.4,0,2.6,11.7,2,3,9,10.0,2.15,66.98,Healthy
23,3000,8.4,13.5,37.0,56.1,0,5.8,6.1,3,3,8,10.0,4.4,40.2,Poor
36,3000,5.6,7.9,34.5,78.5,0,7.3,13.7,3,1,6,10.0,3.93,38.25,Poor
34,4000,5.1,8.8,30.4,79.3,3,2.3,4.5,1,1,6,10.0,2.6,47.42,Poor
43,4500,3.0,5.0,28.4,31.5,6,1.4,14.6,3,3,6,10.0,2.07,58.72,Healthy
39,5000,7.7,11.5,32.0,12.1,2,1.9,10.6,3,3,9,10.0,2.95,54.32,Moderate
21,5000,3.2,5.6,31.5,56.3,4,6.3,7.7,1,3,6,10.0,3.17,56.11,Moderate
26,3000,3.0,3.5,30.9,43.3,7,10.7,11.9,2,3,6,10.0,3.33,58.03,Healthy
34,4500,4.7,6.3,28.9,57.7,5,2.9,18.0,3,3,6,10.0,2.3,55.81,Moderate
0,5000,5.8,9.5,31.0,69.7,3,2.4,15.8,2,3,5,10.0,2.75,59.76,Healthy
34,4500,4.1,3.9,35.7,68.8,6,15.9,11.8,3,3,4,10.0,4.85,36.78,Poor
36,4000,6.9,10.4,33.1,20.5,0,5.4,14.7,1,3,10,10.0,3.47,53.64,Moderate
46,3000,4.9,8.0,34.5,75.0,7,1.1,7.9,2,1,4,10.0,3.46,33.48,Poor
13,3000,7.6,12.7,33.2,52.4,5,1.7,6.9,2,3,6,10.0,3.2,51.36,Moderate
2,4500,6.5,11.3,29.5,43.2,0,0.8,13.6,3,2,8,10.0,2.27,68.92,Healthy
0,5000,9.1,13.5,33.1,22.4,5,4.2,11.2,2,3,7,10.0,3.37,61.47,Healthy
4,4500,4.6,7.7,30.5,40.1,4,3.2,8.5,3,2,7,10.0,2.69,67.95,Healthy
25,4000,7.2,10.0,34.2,49.7,6,2.7,14.0,2,2,6,10.0,3.51,47.15,Poor
13,5000,1.9,3.0,29.7,11.0,0,1.0,10.2,3,1,9,10.0,2.34,78.2,Healthy
38,5000,11.3,18.3,35.8,74.2,0,1.7,16.4,3,3,7,10.0,3.81,28.64,Poor
26,4500,7.1,10.6,32.2,76.6,0,3.2,0.0,1,3,7,10.0,3.08,47.17,Poor
8,4000,4.9,7.5,30.4,56.6,0,3.3,7.5,1,2,8,10.0,2.67,65.56,Healthy
14,5000,5.0,6.4,30.7,38.7,3,5.4,14.6,3,3,7,10.0,2.89,64.27,Healthy
14,3000,5.0,7.9,27.2,63.4,3,0.5,18.3,3,1,6,10.0,1.71,65.75,Healthy
25,4000,9.2,14.5,34.1,55.1,3,6.1,16.6,3,3,7,10.0,3.74,42.64,Poor
41,5000,7.3,11.7,29.9,86.9,0,1.9,6.8,1,2,8,10.0,2.46,44.46,Poor
12,4500,4.6,5.7,34.1,62.6,1,4.2,16.3,1,2,7,10.0,3.62,55.83,Moderate
31,5000,3.0,5.5,30.7,38.9,3,9.2,0.9,2,2,7,10.0,3.19,56.87,Moderate
38,3000,7.9,10.8,30.5,58.0,6,3.0,5.4,3,3,6,10.0,2.68,46.68,Poor
48,4000,7.2,10.7,32.6,39.5,7,8.8,8.7,2,3,4,10.0,3.6,36.88,Poor
31,5000,6.9,8.8,34.9,49.0,7,14.6,12.3,1,1,6,10.0,4.58,41.07,Poor
3,3000,5.3,7.8,30.9,39.1,2,3.5,5.1,3,2,7,10.0,2.8,67.59,Healthy
29,5000,4.9,6.3,31.7,62.1,2,12.8,9.3,2,3,7,10.0,3.69,50.43,Moderate
36,5000,8.9,12.9,33.7,66.8,1,1.7,16.8,2,2,7,10.0,3.33,39.8,Poor
22,4000,9.1,13.6,35.2,13.2,4,4.4,4.1,3,3,6,10.0,3.88,48.08,Poor
38,4500,6.8,11.0,32.1,64.3,2,2.7,3.7,2,3,7,10.0,3.02,44.0,Poor
44,4500,7.4,12.0,30.6,89.4,5,3.6,6.0,2,3,6,10.0,2.73,37.92,Poor
14,3000,6.0,6.6,37.8,54.6,4,2.7,21.9,1,2,7,10.0,4.36,48.73,Poor
42,3000,2.8,4.8,32.1,24.3,2,0.5,12.1,1,2,8,10.0,2.86,56.47,Moderate
28,3000,3.5,5.5,30.6,70.3,5,4.1,5.7,2,3,5,10.0,2.79,52.1,Moderate
35,4000,7.8,11.1,29.0,64.1,1,2.1,14.6,2,3,7,10.0,2.25,51.32,Moderate
12,4500,8.0,11.2,35.7,64.0,3,6.3,0.8,3,3,7,10.0,4.14,46.69,Poor
31,3000,7.6,11.3,32.9,47.9,6,7.8,9.3,1,3,6,10.0,3.59,44.69,Poor
6,3000,6.2,9.5,31.5,84.1,4,1.6,10.7,3,2,6,10.0,2.81,55.74,Moderate
21,5000,7.7,11.9,27.7,62.6,5,1.0,15.6,3,3,6,10.0,1.86,58.02,Healthy
27,5000,5.4,7.9,27.5,63.5,7,1.7,2.8,1,3,5,10.0,1.88,57.93,Moderate
1,3000,6.7,7.6,33.0,58.2,5,1.4,16.4,2,2,6,10.0,3.14,60.81,Healthy
41,5000,5.1,7.1,31.9,53.3,4,1.9,15.1,2,2,6,10.0,2.93,47.31,Poor
44,5000,3.4,3.9,30.7,1.3,1,3.0,16.7,3,1,9,10.0,2.71,63.45,Healthy
5,5000,7.2,12.9,34.6,24.5,7,6.0,4.0,3,2,6,10.0,3.85,54.83,Moderate
27,4000,8.1,12.1,35.6,76.6,4,8.5,18.7,2,2,6,10.0,4.28,35.78,Poor
27,3000,10.4,16.4,34.3,78.5,2,6.8,0.6,3,1,7,10.0,3.84,35.81,Poor
43,3000,6.0,9.7,34.4,23.8,3,11.4,3.7,2,1,7,10.0,4.21,42.43,Poor
43,5000,3.4,5.4,32.1,46.2,0,1.1,10.9,1,3,9,10.0,2.9,53.39,Moderate
19,4000,4.8,6.8,31.6,62.7,1,3.1,8.1,1,3,6,10.0,2.93,55.63,Moderate
29,5000,5.2,7.3,32.4,16.2,7,1.7,3.3,2,3,7,10.0,3.01,58.4,Healthy
10,4000,5.8,6.7,33.8,14.3,4,6.5,21.8,3,2,8,10.0,3.71,64.49,Healthy
27,3000,6.4,9.8,30.5,23.7,4,3.9,1.5,1,3,7,10.0,2.75,58.63,Healthy
24,5000,6.2,9.6,31.9,42.0,7,1.8,1.3,2,3,5,10.0,2.92,52.33,Moderate
38,3000,7.1,10.5,33.4,32.7,4,6.0,11.6,2,3,7,10.0,3.58,45.83,Poor
32,4000,5.9,9.0,32.6,56.0,4,6.5,9.7,3,3,6,10.0,3.42,46.21,Poor
0,4500,1.0,3.0,32.1,52.7,1,2.7,2.7,3,2,8,9.59,3.03,70.69,Healthy
26,4000,6.0,8.6,35.6,29.9,2,5.2,20.9,3,2,8,10.0,4.03,50.53,Moderate
12,4500,5.7,7.9,29.2,27.9,2,3.5,10.5,1,2,7,10.0,2.4,68.74,Healthy
40,3000,6.6,10.6,35.4,75.6,3,2.6,7.2,1,2,6,10.0,3.79,34.05,Poor
2,3000,4.8,7.2,27.4,37.5,3,2.7,10.0,1,3,6,10.0,1.94,74.29,Healthy
38,5000,5.9,8.3,34.7,69.7,0,2.0,2.1,2,2,8,10.0,3.57,42.42,Poor
5,4500,6.6,9.8,32.0,87.8,2,3.9,15.4,2,2,6,10.0,3.1,53.67,Moderate
7,4000,5.2,6.7,31.3,71.5,5,3.1,11.3,2,2,7,10.0,2.88,61.31,Healthy
26,3000,6.9,9.9,31.3,33.1,1,4.9,8.8,1,1,8,10.0,3.01,57.12,Moderate
8,4500,5.6,9.0,33.6,80.6,2,0.2,10.0,2,2,7,10.0,3.2,53.7,Moderate
36,4000,5.8,7.4,33.9,48.3,7,5.1,5.6,2,3,5,10.0,3.63,43.7,Poor
32,4500,1.0,3.0,27.2,25.6,2,0.1,15.7,1,2,8,10.0,1.7,71.64,Healthy
41,4000,3.2,4.1,33.7,58.1,3,5.0,6.7,2,3,6,10.0,3.58,45.11,Poor
43,4000,3.2,3.5,32.0,90.2,5,3.6,7.2,1,2,5,10.0,3.06,42.26,Poor
23,4000,5.9,10.8,28.1,57.9,4,0.4,11.0,2,1,6,10.0,1.93,58.29,Healthy
14,4000,8.0,13.3,33.2,76.0,4,3.5,0.0,3,1,5,10.0,3.34,44.78,Poor
31,4500,5.3,7.3,31.7,63.0,5,5.3,12.8,1,3,6,10.0,3.14,49.19,Poor
31,4500,7.2,10.5,31.7,79.6,2,3.4,9.9,2,3,6,10.0,2.99,44.15,Poor
23,5000,6.8,8.2,34.1,45.9,2,3.1,12.7,2,3,7,10.0,3.53,51.75,Moderate
40,4500,5.8,7.1,31.6,42.1,2,2.4,8.8,3,1,8,10.0,2.87,52.83,Moderate
48,4500,6.6,8.8,33.7,24.1,2,4.0,5.8,3,2,9,10.0,3.49,47.51,Poor
48,5000,6.0,9.0,31.9,52.3,6,4.7,10.6,2,3,5,10.0,3.13,40.52,Poor
11,4500,5.2,7.7,26.8,48.0,3,2.9,15.0,3,3,6,10.0,1.81,69.57,Healthy
38,4000,6.3,9.8,29.7,86.8,2,3.2,7.2,3,2,7,10.0,2.51,46.13,Poor
1,3000,8.4,13.3,34.4,71.8,6,1.5,14.1,3,3,5,10.0,3.48,49.08,Poor
2,3000,6.4,9.9,32.9,78.5,2,6.1,8.5,3,3,7,10.0,3.47,55.33,Moderate
48,5000,5.9,7.8,29.2,39.0,0,1.6,7.7,2,2,8,10.0,2.27,54.07,Moderate
36,4500,3.7,5.9,34.6,75.4,0,4.1,14.4,3,1,7,10.0,3.72,42.79,Poor
48,4500,8.3,13.1,34.2,75.2,6,3.2,11.7,3,3,5,10.0,3.55,29.1,Poor
16,5000,2.7,3.6,27.7,32.5,2,1.6,3.2,1,3,8,10.0,1.93,75.28,Healthy
48,3000,2.1,3.0,36.9,55.4,7,7.0,9.0,3,2,5,10.0,4.46,35.57,Poor
1,4000,6.2,10.5,29.6,57.5,4,0.6,4.2,2,2,7,10.0,2.29,66.31,Healthy
1,4500,3.7,5.7,31.2,40.0,1,2.6,12.6,1,1,8,10.0,2.8,71.43,Healthy
27,5000,7.7,8.7,30.0,42.2,0,3.6,5.4,3,3,8,10.0,2.61,59.33,Healthy
22,4000,2.1,5.3,31.7,37.0,2,9.4,10.8,1,1,7,10.0,3.44,59.11,Healthy
36,5000,7.4,10.7,31.4,58.8,0,5.2,12.6,1,3,7,10.0,3.06,46.53,Poor
31,5000,7.1,13.2,28.3,55.7,2,0.9,12.6,2,3,6,10.0,2.0,52.51,Moderate
32,5000,5.7,9.0,31.0,79.6,4,0.7,7.3,2,3,6,10.0,2.63,47.28,Poor
0,3000,1.3,3.0,33.1,39.0,4,8.3,10.2,3,3,7,10.0,3.68,67.83,Healthy
18,3000,2.1,3.3,31.9,54.8,0,8.0,6.5,1,3,9,10.0,3.38,62.86,Healthy
1,5000,6.0,8.3,32.5,89.0,6,5.6,7.9,1,3,4,10.0,3.34,52.3,Moderate
43,4500,5.0,7.6,34.3,58.6,5,1.9,5.3,1,3,5,10.0,3.48,39.18,Poor
25,4000,7.0,12.4,31.4,2.0,6,1.9,10.3,2,2,6,10.0,2.8,57.74,Moderate
31,4500,5.4,7.1,34.0,55.7,1,0.7,12.4,2,3,8,10.0,3.31,50.35,Moderate
5,3000,5.2,8.3,28.1,46.9,1,6.1,5.8,2,1,8,10.0,2.35,71.11,Healthy
31,4000,1.0,3.0,28.0,42.5,1,1.2,5.8,2,3,8,9.24,1.96,67.65,Healthy
3,5000,7.1,10.5,32.5,47.1,5,4.2,18.0,3,3,6,10.0,3.22,59.09,Healthy
10,4500,4.2,8.3,31.1,70.4,1,3.4,5.8,3,3,8,10.0,2.85,60.44,Healthy
16,4500,4.7,7.6,30.2,87.8,3,2.5,13.6,1,3,7,10.0,2.57,56.52,Moderate
37,5000,3.4,5.8,30.5,56.1,5,2.1,15.0,3,3,6,10.0,2.6,52.5,Moderate
23,4500,2.4,3.7,30.8,66.6,7,4.3,11.4,1,3,5,10.0,2.84,56.08,Moderate
4,3000,8.4,15.4,36.1,30.2,6,8.4,11.8,1,2,6,10.0,4.4,48.32,Poor
33,5000,7.1,9.7,29.1,49.5,2,4.7,10.4,2,3,7,10.0,2.48,54.75,Moderate
5,4500,7.1,9.1,32.5,41.0,7,3.1,3.2,2,2,5,10.0,3.14,59.42,Healthy
21,5000,5.1,9.3,27.3,67.7,4,6.1,15.4,3,2,6,10.0,2.17,58.95,Healthy
10,4000,2.0,3.0,30.2,51.3,1,9.3,7.8,3,3,8,10.0,3.08,68.49,Healthy
47,5000,9.7,15.0,38.7,80.8,3,1.8,14.2,3,2,6,10.0,4.5,20.0,Poor
15,4500,6.3,11.2,33.8,48.8,6,3.9,9.9,1,3,5,10.0,3.51,49.28,Moderate
32,3000,5.8,9.1,34.5,63.7,2,1.5,12.4,1,3,7,10.0,3.5,44.12,Poor
8,5000,4.8,9.4,30.8,18.6,6,8.6,11.4,2,2,7,10.0,3.17,65.78,Healthy
5,5000,1.4,3.0,33.7,65.8,6,4.8,7.7,3,2,6,10.0,3.56,60.07,Healthy
15,4500,7.8,11.0,35.8,50.0,3,3.4,14.0,2,2,6,10.0,3.95,46.98,Poor
28,3000,3.4,3.0,29.0,31.4,0,2.4,3.3,3,2,9,10.0,2.28,69.77,Healthy
2,3000,6.6,10.2,33.3,7.1,6,4.8,16.2,3,3,6,10.0,3.46,64.17,Healthy
19,4000,7.0,8.3,38.9,64.5,0,14.2,15.5,2,2,8,10.0,5.47,39.51,Poor
35,4000,6.2,9.6,37.1,12.2,1,2.2,8.7,1,3,9,10.0,4.16,47.93,Poor
18,4500,6.4,11.1,27.7,20.2,0,0.3,11.3,3,3,8,10.0,1.83,69.5,Healthy
25,3000,8.2,12.3,29.9,61.9,2,4.1,8.7,2,3,7,10.0,2.62,52.32,Moderate
2,3000,3.9,6.1,29.2,25.3,7,2.8,5.9,3,2,6,10.0,2.37,73.72,Healthy
18,4000,5.8,9.7,27.4,48.7,1,1.8,9.6,1,3,8,10.0,1.87,66.64,Healthy
19,4000,5.0,8.2,32.3,81.6,7,6.0,11.4,2,3,4,10.0,3.32,46.31,Poor
